English,Ukrainian
hedging,хеджування
hedging cost,вартість страхування обмінного курсу; вартість хеджування (розм.)
hedging device,метод страхування обмінного курсу; інструмент хеджування; механізм хеджування
hedging scheme,система хеджування; механізм хеджування
hedging strategy,стратегія хеджування
hedging transaction,операція хеджування; хедж
Hermes Kreditversicherungs-AG (HERMES)  [Germany],Товариство страхування кредиторів |Німеччина|; ГЕРМЕС; німецьке експортно-кредитне агентство
Herstatt risk,"ризик, пов'язаний із різницею у часі на різних фінансових ринках"
hidden assets,прихований капітал (різниця між балансовою вартістю і ринковою ціною основного капіталу компанії)
hidden inflation,прихована інфляція
hidden reserve,прихований резерв
hidden subsidy,прихована субсидія
hidden tax,непрямий податок
high capacity utilisation,інтенсивне використання потужностей; велике завантаження потужностей
high case,оптимістичний варіант; сприятливий сценарій; кращий варіант; кращий випадок
high-end product,продукт вищої категорії; ексклюзивний продукт; найбільш високоякісний товар; елітний виріб; найдорожчий товар; елітний продукт
high-grade bond,облігації найвищої і високої категорії (ААА та АА за шкалою рейтингів агентства Затдантд Ж Роог'з або Ааа та Аа за шкалою рейтингів агентства Мооау 5 Ппуєзток5 Уекуісе)
high-performance equipment,високопродуктивне обладнання
high-powered money,гроші підвищеної ефективності; гроші підвищеної потужності
high quality (AA; Aa),висока категорія (рейтинг облігацій за шкалою агентств Уіапдагтд б. Роогз та МооадуЗ Іпуезїогя Уегуісе)
high-risk appetite,готовність іти на ризик; орієнтованість (інвестора) на великі ризики (в розрахунку на великі доходи); готовність ризикувати
high street bank,провідний банк (з великою кількістю відділень) |Англія|; кліринговий банк
high technology,наукоємна технологія; висока технологія
high-use vehicle,транспортний засіб інтенсивного використання; активно використовуваний транспортний засіб
high-yield security,високодохідний цінний папір
higher margin article,високодохідний товар; виріб. який дає великий прибуток
highest bidder,"учасник аукціону, який пропонує найвищу ціну; заявник, який пропонує найвищу ціну"
highest quality (AAA; Aaa),вища категорія (рейтинг облігацій за шкалою агентств Уапаанд 4 Роог5 і Мооау 5 ІГпуезог Уегуісе)
highest speculation (CC; Ca),найбільш ризикована категорія (рейтине облігацій за шкалою агентств Упапаані Ж. РоогУ і Модау 5 Іпуезіог5 Уегуісе)
highly concessionary loan,кредит на значних пільгових умовах; пільговий кредит
highly-confident letter,гарантійний лист (лист інвестиційного банку з обіцянкою надати кошти для поглинення)
highly confidential information,"суто конфіденційна інформація; відомості, які не підлягають розголошенню"
highly geared capital,"капітал, значну частину якого становлять позикові кошти"
highly leveraged company,компанія з високою часткою позикових кощштів
highly leveraged transaction (HLT),"поглинення лише за рахунок позикових коштів; поглинення, яке практично цілком формується за рахунок застави майна компанії, яку купують"
highly-rated member country,країна - член із солідною репутацією (у міжнародних фінансових організаціях)
hindsight option,ретроспективний опціон; ідеальний опціон (право на купівлю або продаж за найкращу для утримувача опціону - за обумовлений період ціну)
hire out (v.),здавати внайми; віддавати у прокат
hire-purchase (HP),покупка на виплат; покупка з оплатою на виплат; оренда з правом викупу
hire-purchase contract,договір оренди з правом викупу
hire purchase loan,"кредит, погашуваний на виплат"
hiring contract,договір майнового найму рухомості; договір особистого найму; договір прокату; договір оренди
historical cost,первинна вартість; вартість придбання; фіксована вартість; фактична собівартість
historical cost accounting (HCA),облік у фіксованих цінах; облік за первинною собівартістю
historical cost convention,правила обліку за фактичними затратами за закінчений період
historical value accounting,облік у фіксованих цінах
hit list,"цільова аудиторія; потенційна клієнтура; клієнти, на яких орієнтується компанія; об'єкти рекламної кампанії; коло клієнтів; контингент клієнтури, можливі клієнти"
hit the account (v.),бути зарахованою на рахунок (про суму); поступати на рахунок (про суму)
hit the bid (v.),"прийняти ціну, яку пропонує покупець (бірж.)"
hive off (v.),"розукрупнювати (підприємство, виробництво); відгалужувати (компанії)"
hoarding,приховані запаси; непродуктивні запаси; запаси для спекулятивних цілей; тезаврація (про золото)
hold for investment (v.),утримувати як об'єкт капіталовкладення; утримувати з інвестиційною метою
hold harmless against ... (v.),звільняти від відповідальності (у порядку гарантій); позбавляти відповідальності (у порядку гарантії); гарантувати звільнення від відповідальності; захищати
hold harmless clause,положення про звільнення від відповідальності; положення про гарантії відшкодування втрат; звільнення позикодавця від відповідальності в разі непередбачених обставин
hold office (v.),обіймати (посідати) посаду; виконувати обов'язки
hold significant positions (v.),мати солідні кошти за позиціями; мати солідні позиції
hold time,час стягнення
Holdback,"частина кредиту, яку стягує банк на будівництво (виплачується лише після завершення будівельних робіт; звичайно дорівнює прибутку позичальника)"
holder for value,"утримувач на оплатних засадах; утримувач, який надав відповідне зустрічне задоволення"
holder in due course,законний утримувач
holder of a bill,векселеутримувач
holder of a bill of exchange,утримувач тратти
holder of claims,утримувач вимог
holder of record,заресстрований власник; формальний власник; офіційний власник; підставний власник (зрідка); фіктивний власник (зрідка)
holder’s signature,підпис власника документа
holding company,холдингова компанія
holding gains and losses,прибутки і втрати у результаті володіння активами; внутрішні прибутки і втрати; номінальні прибутки і втрати; розрахункові прибутки і втрати; теоретичні прибутки і втрати
holding period,період володіння
holdings,авуари
hole in the wall: hole-in-the-wall,"банкомат (розм.) |Англія|; кімнатка (розм.) ІСША|; забігайлівка (розм.) |СШАЇ, дешеве кафе (розм.) |СЄША|"
holiday leave,вихідні дні; вихідні і святкові дні
holiday on interest and capital repayments,відстрочка зі сплати відсотків і основного боргу; пільговий період неплатежу відсотків і основної суми
hollowing-out of industry,переміщення виробництва у дешеві країни; перемішення виробництва у країни з меншою вартістю життя
home banking,дистанційне здійснення банківських операцій; здійснення банківських операцій в діалоговому режимі (через операціоніста або ж за допомогою клавіатури телефонного апарату); дистанційне здійснення банківських операцій за допомогою телефону або комп'ютера у діалоговому режимі
home country,країна реєстрації материнської компанії; країна національної належності
home freight,зворотний фрахт
home leave,відпустка з поїздкою на батьківщину
home loan,кредит на придбання житла; кредит індивідуальному забудовнику; іпотечний кредит на купівлю квартири
home port,порт приписки
home position,вихідна позиція; вихідне положення; початкова позиція; відправна точка
home worker,надомник; надомний працівник
honest entrepreneur,сумлінний підприємець
honour a bill (v.),оплачувати вексель
horizontal integration,об'єднання однорідних виробництв; горизонтальна інтеграція
horticultural market,плодоовочевий ринок
host country,"країна перебування (фізичної особи); країна місцеперебування (юридичної особи); країна, що приймає (при проведенні Щеорічного засідання Ради керуючих ЄБРР)"
hostile takeover,силове поглинення; агресивне поглинення; вороже поглинення
hostless system,децентралізована система
hot bills,облігації останніх випусків; свіжі випуски
hot card,анульована кредитна картка; заблокована кредитна картка
hot desking,"система незакріплених робочих місць; розміщення працівників, за якого кількість працівників перевищує кількість робочих місць; працівники займають будь-які вільні на даний момент місця (З метою економії площі і обладнання)"
hot fix,внесення змін у готовий до підписання документ; оперативна корекція
hot issues,«гарячі випуски» (цінні папери як предмет спекуляції)
hot money,"«гарячі гроші»; незастраховані депозити; кошти на рахунках до запитання; надлишок короткострокових коштів, що реалізується між банками; мічені банкноти; мічені купюри (зберігаються у касах банків на випадок пограбування)"
hotel business,готельний бізнес; готельне господарство
hotel industry,готельний бізнес; готельне господарство
hourly rate,погодинна оплата; погодинна ставка заробітної плати
hours (before ~),до початку робочого дня; до початку банківського дня; до початку торгів (на біржі)
hours of business,години роботи; робочий час; режим роботи; час роботи; розклад роботи
house bill,"«домашній вексель» (власний вексель компанії) |Англія|; законопроект, внесений спочатку в палату представників |СШАЇ."
house brand,власна торговельна марка (звичайно магазину або мережі магазинів)
house rules,"прийняті даною компанією норми (поведінки); порядки, встановлені у даній компанії; правила роботи фірми; правила внутрішнього розпорядку"
household budget,сімейний бюджет
household expenditures,витрати домашніх господарств
household goods,предмети домашнього вжитку
household monetary overhang,надлишок грошових заощаджень домогосподарств
housekeeping,господарський відділ (компанії); підтримання чистоти і порядку (на виробничих об'єктах)
housekeeping data,службові дані
housekeeping function,службова функція; сервісна функція
housekeeping information,допоміжна інформація; службові дані
housekeeping overheads,системні затрати; системні витрати
housing allowance,допомога на житло
housing development,мікрорайон; нова забудова (житлова); житлова забудова
housing estate,мікрорайон
housing loan,кредит на придбання житла (звичайно іпотеицний)
housing stock,житловий фонд
hull insurance,"каско (страхування корпусу, машин і механізмів судів)"
human engineering,ергономіка; робота з кадрами
human environment,середовище іпроживання
human resources (HR),"відділ кадрів; людські ресурси; людський ресурс; кадри; робоча сила; робітники, співробітники"
human resources director,завідувач відділу кадрів
human resources management,кадрова політика; управління людськими ресурсами
humped yield curve,"перевищення середньострокових ставок порівняно з короткостроковими; кон'юнктура, за якої середньострокові ставки вищі за Ккороткострокові"
hurdle rate,рівень неприбутковості; мінімальна дохідність (нижче якої банку невигідно надавати кредит)
hurdle rate of return,порогова дохідність (мінімально прийнятна); допустима мінімальна дохідність
hybrid security,гібридний фондовий папір; змішаний фондовий папір (за походженням і призначенням)
handling rate,швидкість обробки (вантажів)
hyperinflation,"гіперінфляція (рівень інфляції, за якого роздрібні ціни зростають більше ніж на 5096 на місяць)"
hypothecary action,"позов про обернення стягнення на майно, що перебуває в іпотечній заставі"
hypothecary debt,"борг, забезпечений іпотечною заставою"
hypothecation,іпотека; іпотечна застава; застава із збереженням володіння закладеним майном за заставонадавачем; застава без переходу права власності на предмет застави до заставоутримувача |СЦІА|
i-mode,бездротовий засіб для прийому і передачі коротких (текстових і графічних) повідомлень
IDD phone (international direct dial phone),"телефон з прямим виходом на міжнародний зв'язок; телефон, підключений до міжнародної мережі"
identification,"встановлення особи клієнта; упізнання клієнта; пароль банку-відправника; відомості, відомі тільки власникові рахунку (засіб встановлення його особи)"
identification number,інвентарний номер
identification of investors,виявлення інвесторів; підшукання інвесторів; підбір інвесторів
identification of chargor,встановлення заставника (визначення особи); найменування заставника
identification of projects,підбір проектів; підшукання перспективних проектів; виявлення проектів; визначення проектів
identification of risks,розпізнавання ризиків
identify a domicile (v.),визначати країну реєстрації (юридичної особи)
idle assets,"невикористовувані активи; обладнання, що простоює; невикористовувані фонди; незадіяні об'єкти; вільні активи"
idle capacities,"бездіяльні потужності; потужності, що простоюють"
idle capital,невикористовуваний капітал; неїінвестовані кошти; незадіяні ресурси; невикористовувані кошти
idle equipment,"бездіяльне обладнання; вільне обладнання; невикористовуване обладнання; обладнання, що простоює"
idle facility expense,"витрати, викликані простоюванням потужностей; витрати простою обладнання"
idle money,бездіяльний капітал; неінвестовані кошти; незадіяні ресурси; невикористовувані кошти
idle period,час простою; простій
idle resources,"невикористовувані ресурси; бездіяльні ресурси; ресурси, що простоюють"
idle-time cost,вартість простою; ціна простою
illicit activity,незаконна діяльність
illiquid asset,"неліквідний актив; майно, що складно реалізується; неліквідне майно; неліквід"
illiquid bond,неліквідна облігація (результат погіршення кредитоспроможності емітента)
IMF Institute,Їнститут МВФ
imitative trade mark,зображальний товарний знак
immaterial issue,"несуттєве питання; несуттєва проблема; аспект, що не має значення"
immediate cause,безпосередня причина; пряма причина
immediate container,первинне упакування
immediate credit,оплата чека; зарахування чека на рахунок 3 можливістю негайного використання коштів
immediate dependant,прямий утриманець; безпосередній утриманець
Immediate or Cancel,застереження «виконати негайно або відмінити»
immediately available funds,"кошти, які можна негайно використати; безпосередньо наявні кошти; гроші, якими одержувач може розпоряджатися у день їх надходження на його рахунок; наявні кошти; кошти «день у день»"
immision limit,гранично допустима концентрація (екол.); фонова концентрація (екол.)
immobilisation,знерухомлення; заморожування коштів на рахунку; арешт рахунку; блокування рахунку
immovable property,нерухоме майно; нерухомість
immune from legal process,який має імунітет від судового провадження
immunisation,заходи з покриття ринкового ризику
immunity,імунітет (юр.); вилучення з-під юрисдикції
immunity from jurisdiction,імунітет від юрисдикції
immunity of assets,імунітет активів
impact assessment,оцінка впливу; оцінка наслідків
impact loans [Japan],"єврокредити, взяті японськими підприємствами під гарантії японських банків"
"impair any right, power or remedy (v.)","завдавати збитків будь-якому праву, повноваженню або засобу юридичного захисту; зменшувати (понижувати) будь-яке право, правочинність або засіб судового захисту"
impaired assets,непродуктивні активи; непродуктивні кредити і вкладення у капітали (в інвестиційному банку)
impaired capital,обтяжений капітал; закладений капітал; нестача капіталу; нестача коштів для інвестицій; нестача заявленого капіталу банку порівняно з оплаченим (у результаті збитків з кредитування)
impaired credit,підірваний кредит; сумнівний кредит; ненадійний клієнт; втрачена довіра; підмочена репутація
impaired equity,непродуктивне вкладення в капітал (проти якого інвестор створив конкретний резерв покриття можливих втрат; звичайно з низьким кредитним рейтингом)
impairment of capital,обтяжений капітал; зниження вартості капіталу; надання в заставу основних фондів
impairment of dignity,применшення вартості (міжнародних фінансових організацій)
impede the course of justice (v.),чинити перешкоди відправленню правосуддя; заважати відправленню правосуддя; утруднювати відправлення правосуддя
impediment,завада; перешкода
impediment to international investment,завада для припливу іноземних капіталовкладень; перешкода припливу іноземних інвестицій
imperfect obligation,"нечинне зобов'язання; дефектне зобов'язання; зобов'язання, яке не має позовної сили; натуральне зобов'язання"
imperfect title,недійсне право власності; дефектний правовий титул; недосконалий титул; оспорюване право власності
imperfection of market,недосконалість ринку; вади ринкових відносин; недосконалість ринкових відносин; збій ринкового механізму
implementation arrangements,механізм реалізації (програми); заходи щодо здійснення
implementation plan,план здійснення; план реалізації
implementation support,проектна підтримка; забезпечення реалізації проекту
implementing agency,установа-виконавець;  організація-виконавець
implementing order,розпорядження
implicit cost,внутрішні витрати; системні витрати; наявні витрати
implicit cost elements,непрямі витрати
implicit price subsidy,непряма дотація; непрямо дотована ціна; наявна субсидія; непряма субсидія
implicit subsidy,прихована субсидія
implied agreement,"припущення угоди; очікувана угода; угода, що мається на увазі; квазі-договіо; мовчазна домовленість"
implied authority,очікувані повноваження; презумпція повноважень
implied consent,очікувана згода; презумпція згоди
implied guarantee,очікувана гарантія; презумпція гарантії
import charge,ввізне мито; мито на імпорт; ввізний збір; імпортний збір
import duty,ввізне мито; мито на імпорт; ввізний збір; імпортний збір
import fee,ввізне мито; мито на імпорт; ввізний збір; імпортний збір
import finance facility,імпортний кредит; кредит на оплату імпорту
import levy,ввізне мито; мито на імпорт; ввізний збір; імпортний збір
import rationing,обмеження імпорту; регламентація імпорту; регулювання імпорту
import substitution,імпортозаміщення
import surplus,пасивний торговельний баланс; (перевищення імпорту над експортом)
import tariff,ввізне мито; мито на імпорт; ввізний збір; імпортний збір; імпортний тариф
impossibility in law,юридична неможливість виконання (договору)
impoverishment,збіднення; зубожіння
imprest,грошовий аванс; позичка
imprest fund,фонд поточних витрат
imputation,умовне обчислення; умовне нарахування
imputed cost,внутрішні витрати; неявні витрати
imputed interest,"накладений відсоток (який не відображений у бухгалтерській звітності); відсотки, включені в основний борг"
imputed rate of interest,інкримінована ставка відсотка
imputed value,оцінна вартість; розрахункова вартість; оцінка вартості
in arrears,наявність простроченої заборгованості; на кінець періоду (про платежі); в кінці періоду (про оплату)
in arrears (DD),прострочена заборгованість (рейтинг облігацій за шкалою агентства 5апаана 4. Роог 5)
in-blank endorsement,бланковий індосамент
in-bond price,"ціна, що не враховує мита; ціна нерозмитненого товару; нерозмитнена ціна (розм.)"
in consideration,за зустрічне задоволення
in default (DDD),порушені зобов'язання (рейтинг облігацій за шкалою агентства УЗіапаана ді. Роог 5)
In-depth Safety Assessment (IDSA; ISA) [NSA],поглиблена оцінка безпеки (ПОБ) |СЯБІ|
in equity,за правом справедливості
in good working ordery,у повній справності; у справності; у робочому стані
in gross,оптом
in-house audit,внутрішня ревізія; власна ревізійна служба; ревізійно-контрольний підрозділ (компанії); відомча ревізійна служба
in-house counsel,юрист у штаті компанії; юрист підприємства; штатний юрист
iH-HOUSCe finance company,"ачіилімоОвагпа і1гіБеСТИЦІЙИ па КОМПпания, власна інвестиційна компанія; залежна інвестиційна компанія; відомча інвестиційна компанія"
in-house specialisation,власні спеціалісти; штатні спеціалісти;власний штат спеціалістів
in kind,у матеріальній формі; у натуральній формі; у натуральному вираженні; натурою
in-kind compensation,натуральна оплата праці; пільги натурою; оплата натурою
in money terms,у грошовій формі; у грошовому вираженні
in multiples of ...,"цифри, кратні...; кратно..,"
in the money,доцільність реалізації опціону (стан ринку робить реалізацію опціону вигідною)
in value terms,у вартісному вираженні
in working order,у справному стані; у порядку; у справності; у робочому стані
inactive account,"клієнт, з яким не ведуться операції (у даний час); рахунок, за яким не відбувається рух залишків; невикористовуваний рахунок; рахунок без руху залишку"
inactive client,колишній клієнт
inaugural meeting,установче засідання (акціонерів при створенні компанії)
inbuilt tendency,внутрішня тенденція; незворотна тенденція; органічно властива тенденція
incapacity to contract,недієздатність (фізичної особи); неправочинність (юридичної особи); нездатність укладати договори (про юридичну особу)
incentive,пільга; стимул
incentive payment system,преміальна система (оплата праці)
incentive pricing,стимулювання попиту шляхом зниження ціни
incentive wage,премія за виконання завдання
incentivise workforce (v.),створювати систему заохочення працівників; стимулювати працівників
inception date,дата початку робіт; дата початку робіт за проектом; дата початку реалізації проекту; дата початку здійснення проекту; дата початку роботи консультанта
inception of a lease,початок терміну оренди
inception report,первісний звіт |ЄБРРІ; звіт консультанта про початок роботи |ЄБРРІ; установча доповідь; установчий звіт (зрідка)
incidence of liability,прийняття зобов'язань; взяття зобов'язань; виникнення відповідальності
incident-prone plant,потенційно аварійна установка
incidental expenses,побічні витрати
incidental profit,непередбачений прибуток; разовий прибуток
incidentals,побічні витрати
income account,рахунок прибутків і втрат
income and expenditure account,рахунок прибутків і втрат
income bond,"облігація, дохід на яку сплачується за наявності у компанії прибутків; облігація з участю у прибутках; облігація, яка дає дохід лише за наявності у емітента прибутку"
income bracket,рівень доходів; категорія доходів; категорія осіб з одним рівнем доходів (стат.)
income distribution,розподіл доходів
income effect,ефект зміни доходу
income elasticity of demand,еластичність попиту за доходом
income from financial operations,доходи від фінансової діяльності
income from guarantees and underwriting,"доходи від гарантій і гарантованого розміщення цінних паперів; доходи від гарантій, включаючи гарантії з розміщення цінних паперів"
income from loans and equity investment,дохід від кредитів та інвестицій в акціонерний капітал; доходи від кредитів й пайової участі у капіталах
income from operations,доходи від основної діяльності; доходи від реалізації
income from sales,доходи у вигляді прибутку; доходи від реалізації
income fund,"фонд, який інвестує кошти головним чином у цінні папери з фіксованим терміном погашення"
mcome gearmy,"частка приоутку, що иде на погашення відсотків"
income policy,політика регулювання доходів
income splitting,віднесення частини доходів на членів родини (з метою зменшення податків); віднесення частини доходів на дочірні або афілійовані компанії (для податкових цілей)
income statement,звіт про прибутки і втрати; рахунок прибутків і втрат; звіт про фінансові результати; звіт про результати фінансової діяльності
income tax,прибутковий податок
incoming Calls,вхідні переговори; вхідне навантаження; вхідний обмін
incoming traffic,вхідне навантаження; вхідні переговори; вхідний обмін
incomings,джерела регулярних надходжень; дохідні статті; доходи; надходження; вхідні статті
inconsistent procurement,"порушення правил закупок товарів і послуг; закупки, що не відповідають правилам"
inconvertible currency,неконвертована валюта
incorporated allowances,надбавки як частина заробітної плати; надбавки як складова частина оплати праці
increased costs,"витрати, що зросли; додаткові видатки; витрати, які зросли стосовно до кошторису; перевищення кошторису з видатків"
increased costs certification,довідка про зрослі витрати
increased focus,"концентрація (уваги, зусиль); вузька спеціалізація"
increment,приріст
increment rate,коефіцієнт приросту; темпи приросту
incremental amount,прирісна величина; величина приросту
incremental borrowing rate of interest,прирісна ставка відсотка (процента) на позиковий капітал
incremental capital-output ratio (ICOR),граничний коефіцієнт капіталовіддачі
incremental cost of capital,зважена вартість залученого капіталу
incremental costs,додаткові витрати; прирісні витрати; приріст витрат
incremental to something,понад щось; на перевищення чогось
incremental working capital,додатковий оборотний капітал; прирощений оборотний капітал
incur debt (v.),брати боргові зобов'язання; брати кредит; створювати заборгованість
incur expenditures (v.),нести видатки; здійснювати видатки; витрачатися
incurred costs,здійснені витрати
incurrence of liability,прийняття зобов'язань; взяття зобов'язань; виникнення відповідальності (фінансової)
incurring of debt,взяття боргових зобов'язань; взяття кредитів; виникнення боргу
indemnifiable,який підлягає відшкодуванню (з гарантією); який відшкодовується (у порядку гарантії)
indemnification,відшкодування завданої шкоди; компенсація (за гарантією); погашення відповідальності; відшкодування збитків і звільнення від відповідальності
indemnification in general average,відшкодування у порядку загальної аварії (страх.)
indemnification of directors,звільнення правління від відповідальності за позовами
indemnified person,"кредитор щодо зобов'язання відшкодування збитків; особа, якій відшкодовуються збитки"
indemnity,гарантія відшкодування збитків; застереження про регрес; відшкодування завданої шкоди; гарантійний лист; звільнення від відповідальності
indemnity against loss,страхування шкоди
indemnity agreement,угода про прийняття відповідальності (за когось); угода про відшкодування; гарантійна угода
indemnity bond,гарантійне зобов'язання
indemnity statement,заява про прийняття відповідальності (за когось); декларація про звільнення від відповідальності; заява про звільнення від відповідальності; гарантійна декларація
indenture,право вирахування на нерухоме майно; договір; облігаційна угода; контракт
independent accountant,аудитор; зовнішній аудитор
independent contract,безвідплатний (безоплатний) договір
independent control,підрозділ з контролю (ризиків); незалежний контроль
independent risk control,незалежне управління ризиками; підрозділ з незалежного управління ризиками (у банку)
index fund,"пайовий фонд, пропорційний склад інвестицій якого аналогічний біржовому індексу"
index-linking,індексація
index-number of purchasing power,індекс купівельної спроможності грошей; індекс купівельної спроможності
index-number of world industrial production,індекс промислового виробництва світу
index put option,опціон на продаж індексу
indexation,індексація; індексування
indexing,індексування; індексація
indexing method,метод індексування; метод індексації
indication,"вираження інтересу (бірж.); «до відома» (вказівка на те, що заявлені ціни не створюють зобов'язання купити або продати)"
indication rate,орієнтовна ставка (необов'язкова для дилера); ставка до відома
indicative bid,"попередня заявка (на торгах; надається учасниками, які пройшли попередній відбір)"
indicative planning,індикативне планування
indicative planning figure (IPF),орієнтовне планове завдання; індикативний плановий показник
indicative priorities,орієнтовні пріоритети; приблизна першочерговість
indicative programme,індикативна програма; орієнтовна програма
indicative target,орієнтовне планове завдання
indicative value,орієнтовна вартість
indirect cost,непрямі витрати; непрямі видатки
indirect interests,непряма участь директорів у капіталі компанії (через посередників); непряма участь членів правління у капіталі компанії
indirect liability,вірогідне зобов'язання; потенційне зобов'язання; умовне зобов'язання
indirect method of reporting cash flows,непрямий метод обліку руху грошей
